代码,地区
京[A-Z],北京市
津[A-Z],天津市
冀A,河北省石家庄市
冀B,河北省唐山市
冀C,河北省秦皇岛市
冀D,河北省邯郸市
冀E,河北省邢台市
冀F,河北省保定市
冀G,河北省张家口市
冀H,河北省承德市
冀J,河北省沧州市
冀O,河北省公安厅交通管理局车辆管理所
冀R,河北省廊坊市
冀T,河北省衡水市
晋A,山西省太原市
晋B,山西省大同市
晋C,山西省阳泉市
晋D,山西省长治市
晋E,山西省晋城市
晋F,山西省朔州市
晋H,山西省忻州市
晋J,山西省吕梁市
晋K,山西省晋中市
晋L,山西省临汾市
晋M,山西省运城市
晋O,山西省公安厅交通管理局车辆管理所
蒙A,内蒙古自治区呼和浩特市
蒙B,内蒙古自治区包头市
蒙C,内蒙古自治区乌海市
蒙D,内蒙古自治区赤峰市
蒙E,内蒙古自治区呼伦贝尔市
蒙F,内蒙古自治区兴安盟
蒙G,内蒙古自治区通辽市
蒙H,内蒙古自治区锡林郭勒盟
蒙J,内蒙古自治区乌兰察布市
蒙K,内蒙古自治区鄂尔多斯市
蒙L,内蒙古自治区巴彦淖尔市
蒙M,内蒙古自治区阿拉善盟
蒙O,内蒙古自治区公安厅交通管理局车辆管理所
辽A,辽宁省沈阳市
辽B,辽宁省大连市
辽C,辽宁省鞍山市
辽D,辽宁省抚顺市
辽E,辽宁省本溪市
辽F,辽宁省丹东市
辽G,辽宁省锦州市
辽H,辽宁省营口市
辽J,辽宁省阜新市
辽K,辽宁省辽阳市
辽L,辽宁省盘锦市
辽M,辽宁省铁岭市
辽N,辽宁省朝阳市
辽O,辽宁省公安厅交通安全管理局车辆管理所
辽P,辽宁省葫芦岛市
吉A,吉林省长春市
吉B,吉林省吉林市
吉C,吉林省四平市
吉D,吉林省辽源市
吉E,吉林省通化市
吉F,吉林省白山市
吉G,吉林省白城市
吉H,吉林省延边朝鲜族自治州
吉J,吉林省松原市
吉K,吉林省公安厅交通警察总队长白山保护开发区车辆管理所
吉O,吉林省公安厅交通管理局车辆管理所
黑[AL],黑龙江省哈尔滨市
黑B,黑龙江省齐齐哈尔市
黑C,黑龙江省牡丹江市
黑D,黑龙江省佳木斯市
黑E,黑龙江省大庆市
黑F,黑龙江省伊春市
黑G,黑龙江省鸡西市
黑H,黑龙江省鹤岗市
黑J,黑龙江省双鸭山市
黑K,黑龙江省七台河市
黑M,黑龙江省绥化市
黑N,黑龙江省黑河市
黑O,黑龙江省公安厅交通管理局车辆管理所
黑P,黑龙江省大兴安岭地区
黑R,黑龙江省垦区公安局交通警察支队车辆管理所
沪[A-Z],上海市
苏A,江苏省南京市
苏B,江苏省无锡市
苏C,江苏省徐州市
苏D,江苏省常州市
苏E,江苏省苏州市
苏F,江苏省南通市
苏G,江苏省连云港市
苏H,江苏省淮安市
苏J,江苏省盐城市
苏K,江苏省扬州市
苏L,江苏省镇江市
苏M,江苏省泰州市
苏N,江苏省宿迁市
苏O,江苏省公安厅交通警察总队车辆管理所
浙A,浙江省杭州市
浙B,浙江省宁波市
浙C,浙江省温州市
浙D,浙江省绍兴市
浙E,浙江省湖州市
浙F,浙江省嘉兴市
浙G,浙江省金华市
浙H,浙江省衢州市
浙J,浙江省台州市
浙K,浙江省丽水市
浙L,浙江省舟山市
浙O,浙江省公安厅交通管理局车辆管理所
皖A,安徽省合肥市
皖B,安徽省芜湖市
皖C,安徽省蚌埠市
皖D,安徽省淮南市
皖E,安徽省马鞍山市
皖F,安徽省淮北市
皖G,安徽省铜陵市
皖H,安徽省安庆市
皖J,安徽省黄山市
皖K,安徽省阜阳市
皖L,安徽省宿州市
皖M,安徽省滁州市
皖N,安徽省六安市
皖O,安徽省公安厅交通管理局车辆管理所
皖P,安徽省宣城市
皖R,安徽省池州市
皖S,安徽省亳州市
闽[AK],福建省福州市
闽B,福建省莆田市
闽C,福建省泉州市
闽D,福建省厦门市
闽E,福建省漳州市
闽F,福建省龙岩市
闽G,福建省三明市
闽H,福建省南平市
闽J,福建省宁德市
闽O,福建省公安厅交通警察总队车辆管理所
赣[AM],江西省南昌市
赣B,江西省赣州市
赣C,江西省宜春市
赣D,江西省吉安市
赣E,江西省上饶市
赣F,江西省抚州市
赣G,江西省九江市
赣H,江西省景德镇市
赣J,江西省萍乡市
赣K,江西省新余市
赣L,江西省鹰潭市
赣O,江西省公安厅交通管理局车辆管理所
鲁[AS],山东省济南市
鲁[BU],山东省青岛市
鲁C,山东省淄博市
鲁D,山东省枣庄市
鲁E,山东省东营市
鲁[FY],山东省烟台市
鲁[GV],山东省潍坊市
鲁H,山东省济宁市
鲁J,山东省泰安市
鲁K,山东省威海市
鲁L,山东省日照市
鲁M,山东省滨州市
鲁N,山东省德州市
鲁[OW],山东省公安厅交通警察总队车辆管理所
鲁P,山东省聊城市
鲁Q,山东省临沂市
鲁R,山东省菏泽市
豫A,河南省郑州市
豫B,河南省开封市
豫C,河南省洛阳市
豫D,河南省平顶山市
豫E,河南省安阳市
