代码,一级行政区,二级行政区,名称,级别,状态,启用时间,变更（弃用）时间,新代码
110000,北京市,,北京市,省级,启用,1980,,
110101,北京市,直辖,东城区,县级,启用,1980,,
110102,北京市,直辖,西城区,县级,启用,1980,,
110103,北京市,直辖,崇文区,县级,弃用,1980,2010,110101
110104,北京市,直辖,宣武区,县级,弃用,1980,2010,110102
110105,北京市,直辖,朝阳区,县级,启用,1980,,
110106,北京市,直辖,丰台区,县级,启用,1980,,
110107,北京市,直辖,石景山区,县级,启用,1980,,
110108,北京市,直辖,海淀区,县级,启用,1980,,
110109,北京市,直辖,门头沟区,县级,启用,1980,,
110110,北京市,直辖,燕山区,县级,弃用,1980,1986,110111
110111,北京市,直辖,房山区,县级,启用,1986,,
110112,北京市,直辖,通州区,县级,启用,1997,,
110113,北京市,直辖,顺义区,县级,启用,1998,,
110114,北京市,直辖,昌平区,县级,启用,1999,,
110115,北京市,直辖,大兴区,县级,启用,2001,,
110116,北京市,直辖,怀柔区,县级,启用,2001,,
110117,北京市,直辖,平谷区,县级,启用,2001,,
110118,北京市,直辖,密云区,县级,启用,2015,,
110119,北京市,直辖,延庆区,县级,启用,2015,,
110201,北京市,直辖,昌平县,县级,弃用,1980,1982,110221
110202,北京市,直辖,顺义县,县级,弃用,1980,1982,110222
110203,北京市,直辖,通县,县级,弃用,1980,1982,110223
110204,北京市,直辖,大兴县,县级,弃用,1980,1982,110224
110205,北京市,直辖,房山县,县级,弃用,1980,1982,110225
110206,北京市,直辖,平谷县,县级,弃用,1980,1982,110226
110207,北京市,直辖,怀柔县,县级,弃用,1980,1982,110227
110208,北京市,直辖,密云县,县级,弃用,1980,1982,110228
110209,北京市,直辖,延庆县,县级,弃用,1980,1982,110229
110221,北京市,直辖,昌平县,县级,弃用,1982,1999,110114
110222,北京市,直辖,顺义县,县级,弃用,1982,1998,110113
110223,北京市,直辖,通县,县级,弃用,1982,1997,110112
110224,北京市,直辖,大兴县,县级,弃用,1982,2001,110115
110225,北京市,直辖,房山县,县级,弃用,1982,1986,110111
110226,北京市,直辖,平谷县,县级,弃用,1982,2001,110117
110227,北京市,直辖,怀柔县,县级,弃用,1982,2001,110116
110228,北京市,直辖,密云县,县级,弃用,1982,2015,110118
110229,北京市,直辖,延庆县,县级,弃用,1982,2015,110119
120000,天津市,,天津市,省级,启用,1980,,
120101,天津市,直辖,和平区,县级,启用,1980,,
120102,天津市,直辖,河东区,县级,启用,1980,,
120103,天津市,直辖,河西区,县级,启用,1980,,
120104,天津市,直辖,南开区,县级,启用,1980,,
120105,天津市,直辖,河北区,县级,启用,1980,,
120106,天津市,直辖,红桥区,县级,启用,1980,,
120107,天津市,直辖,塘沽区,县级,弃用,1980,2009,120116
120108,天津市,直辖,汉沽区,县级,弃用,1980,2009,120116
120109,天津市,直辖,大港区,县级,弃用,1980,2009,120116
120110,天津市,直辖,东丽区,县级,启用,1992,,
120110,天津市,直辖,东郊区,县级,变更,1980,1992,120110
120111,天津市,直辖,西青区,县级,启用,1992,,
120111,天津市,直辖,西郊区,县级,变更,1980,1992,120111
120112,天津市,直辖,津南区,县级,启用,1992,,
120112,天津市,直辖,南郊区,县级,变更,1980,1992,120112
120113,天津市,直辖,北辰区,县级,启用,1992,,
120113,天津市,直辖,北郊区,县级,变更,1980,1992,120113
120114,天津市,直辖,武清区,县级,启用,2000,,
120115,天津市,直辖,宝坻区,县级,启用,2001,,
120116,天津市,直辖,滨海新区,县级,启用,2009,,
120117,天津市,直辖,宁河区,县级,启用,2015,,
120118,天津市,直辖,静海区,县级,启用,2015,,
120119,天津市,直辖,蓟州区,县级,启用,2016,,
120201,天津市,直辖,宁河县,县级,弃用,1980,1982,120221
120202,天津市,直辖,武清县,县级,弃用,1980,1982,120222
120203,天津市,直辖,静海县,县级,弃用,1980,1982,120223
120204,天津市,直辖,宝坻县,县级,弃用,1980,1982,120224
120205,天津市,直辖,蓟县,县级,弃用,1980,1982,120225
120221,天津市,直辖,宁河县,县级,弃用,1982,2015,120117
120222,天津市,直辖,武清县,县级,弃用,1982,2000,120114
120223,天津市,直辖,静海县,县级,弃用,1982,2015,120118
120224,天津市,直辖,宝坻县,县级,弃用,1982,2001,120115
120225,天津市,直辖,蓟县,县级,弃用,1982,2016,120119
130000,河北省,,河北省,省级,启用,1980,,
130100,河北省,石家庄市,石家庄市,地级,启用,1980,,
130102,河北省,石家庄市,长安区,县级,启用,1980,,130108[2001]
130103,河北省,石家庄市,桥东区,县级,弃用,1980,2015,130102;130104
130104,河北省,石家庄市,桥西区,县级,启用,1980,,
130105,河北省,石家庄市,新华区,县级,启用,1980,,
130106,河北省,石家庄市,郊区,县级,弃用,1980,2001,130102;130103;130104;130105;130108
130107,河北省,石家庄市,井陉矿区,县级,启用,1992,,
130107,河北省,石家庄市,井陉矿区,县级,变更,1980,1989,130121
130108,河北省,石家庄市,裕华区,县级,启用,2001,,
130109,河北省,石家庄市,藁城区,县级,启用,2014,,
130110,河北省,石家庄市,鹿泉区,县级,启用,2014,,
130111,河北省,石家庄市,栾城区,县级,启用,2014,,
130121,河北省,石家庄市,井陉县,县级,启用,1983,,130107[1992]
130122,河北省,石家庄市,获鹿县,县级,弃用,1983,1994,139019
130123,河北省,石家庄市,正定县,县级,启用,1993,,130102[2001];130108[2001]
130123,河北省,石家庄市,栾城县,县级,变更,1986,1993,130124
130124,河北省,石家庄市,栾城县,县级,弃用,1993,2014,130108[2001];130111
130124,河北省,石家庄市,正定县,县级,变更,1986,1993,130123
130125,河北省,石家庄市,行唐县,县级,启用,1993,,
130126,河北省,石家庄市,灵寿县,县级,启用,1993,,
130127,河北省,石家庄市,高邑县,县级,启用,1993,,
130128,河北省,石家庄市,深泽县,县级,启用,1993,,
130129,河北省,石家庄市,赞皇县,县级,启用,1993,,
130130,河北省,石家庄市,无极县,县级,启用,1993,,
130131,河北省,石家庄市,平山县,县级,启用,1993,,
130132,河北省,石家庄市,元氏县,县级,启用,1993,,
130133,河北省,石家庄市,赵县,县级,启用,1993,,
130181,河北省,石家庄市,辛集市,县级,启用,1995,,
130182,河北省,石家庄市,藁城市,县级,弃用,1995,2014,130109
130183,河北省,石家庄市,晋州市,县级,启用,1995,,
130184,河北省,石家庄市,新乐市,县级,启用,1995,,
130185,河北省,石家庄市,鹿泉市,县级,弃用,1995,2014,130110
130200,河北省,唐山市,唐山市,地级,启用,1980,,
130202,河北省,唐山市,路南区,县级,启用,1980,,
